,precision,recall,f1-score,support
Accipiter_nisus,0.7692307692307693,0.4878048780487805,0.5970149253731343,41.0
Alburnus_alburnus,0.5434782608695652,0.6944444444444444,0.6097560975609756,36.0
Alcedo_atthis,0.7555555555555555,0.723404255319149,0.7391304347826086,47.0
Anas_platyrhynchos,0.696969696969697,0.6764705882352942,0.6865671641791045,34.0
Anguis_fragilis,0.8461538461538461,0.7021276595744681,0.7674418604651163,47.0
Apis_mellifera,0.5098039215686274,0.7428571428571429,0.6046511627906976,35.0
Apus_apus,0.5957446808510638,0.8,0.6829268292682927,35.0
Ardea_cinerea,0.8205128205128205,0.8648648648648649,0.8421052631578947,37.0
Barbus_balcanicus,0.0,0.0,0.0,6.0
Bombina_variegata,0.7872340425531915,0.7551020408163265,0.7708333333333334,49.0
Bombus_terrestris,0.8857142857142857,0.7380952380952381,0.8051948051948052,42.0
Bubo_bubo,0.8235294117647058,0.9032258064516129,0.8615384615384616,31.0
Bufo_bufo,0.7142857142857143,0.6818181818181818,0.6976744186046512,44.0
Calopteryx_splendens,1.0,0.972972972972973,0.9863013698630136,37.0
Canis_lupus,0.75,0.7142857142857143,0.7317073170731707,42.0
Capreolus_capreolus,0.6111111111111112,0.55,0.5789473684210527,40.0
Carabus_intricatus,1.0,0.925,0.961038961038961,40.0
Carduelis_carduelis,0.725,0.7631578947368421,0.7435897435897436,38.0
Certhia_brachydactyla,0.5641025641025641,0.55,0.5569620253164557,40.0
Cervus_elaphus,0.55,0.5116279069767442,0.5301204819277109,43.0
Cetonia_aurata,0.9024390243902439,0.8409090909090909,0.8705882352941177,44.0
Ciconia_ciconia,0.75,0.7692307692307693,0.759493670886076,39.0
Columba_palumbus,0.48717948717948717,0.5135135135135135,0.5,37.0
Coronella_austriaca,0.5151515151515151,0.4722222222222222,0.4927536231884058,36.0
Corvus_corax,0.6444444444444445,0.7435897435897436,0.6904761904761905,39.0
Cottus_gobio,0.6764705882352942,0.575,0.6216216216216216,40.0
Dama_dama,0.5,0.3170731707317073,0.3880597014925373,41.0
Dryocopus_martius,0.7647058823529411,0.6666666666666666,0.7123287671232876,39.0
Emberiza_citrinella,0.7857142857142857,0.6285714285714286,0.6984126984126984,35.0
